data,Holt | nível TWh,Holt | tendência TWh/mês,Holt-Winters aditivo | nível TWh,Holt-Winters aditivo | tendência TWh/mês,Holt-Winters aditivo | sazonalidade,Holt-Winters multiplicativo | nível TWh,Holt-Winters multiplicativo | tendência TWh/mês,Holt-Winters multiplicativo | sazonalidade
2023-04-01,757.397941599777,3.3180642086090746,-47986.5062335263,3.2577499318283167,48676.66889803503,742.6281744790857,3.196153638997247,0.9327805756567753
2023-05-01,760.7160052344528,3.3180642086090657,-47983.64328690162,3.2577499318283167,48707.067992300705,745.4011325464868,3.196153638997247,0.9712755195925651
2023-06-01,764.034069607957,3.3180642086090684,-47980.27136509849,3.2577499318283167,48755.017196567765,749.9725458330433,3.196153638997247,1.0253172853185117
2023-07-01,767.3521356262803,3.318064208609095,-47971.18154484915,3.2577499318283167,48841.89008544013,757.262807766283,3.196153638997247,1.1467046406399424
2023-08-01,770.6702015549276,3.3180642086091208,-47964.462602257154,3.2577499318283167,48839.825758716375,761.6633164880624,3.196153638997247,1.1554193803525852
2023-09-01,773.9882658695097,3.318064208609122,-47958.39588081479,3.2577499318283167,48730.78226947311,766.258767177023,3.196153638997247,1.011326430072226
2023-10-01,777.3063295505234,3.318064208609114,-47954.71486907978,3.2577499318283167,48695.301883584965,770.3335827069103,3.196153638997247,0.9583293770890466
2023-11-01,780.6243934965084,3.3180642086091106,-47949.74371597001,3.2577499318283167,48707.42862846981,774.9904630299865,3.196153638997247,0.9765135059756209
2023-12-01,783.942458492924,3.318064208609122,-47945.5759100717,3.2577499318283167,48779.56410930435,778.6822333049772,3.196153638997247,1.0716802755024875
2024-01-01,787.2605225251385,3.3180642086091194,-47943.97318065229,3.2577499318283167,48724.530046355314,777.4042308703517,3.196153638997247,1.023091277252575
2024-02-01,790.5785855494634,3.3180642086091017,-47941.59125104886,3.2577499318283167,48655.410718044965,788.5869227403457,3.196153638997247,0.8636548838617003
2024-03-01,793.8966497625928,3.3180642086091017,-47936.764650644014,3.2577499318283167,48726.09797498578,793.9623250809099,3.196153638997247,0.9884848510793428
2024-04-01,797.2147131365176,3.3180642086090892,-47933.79167670693,3.2577499318283167,48675.87507026514,796.6831741239101,3.196153638997247,0.9327805756567753
2024-05-01,800.5327769661487,3.3180642086090835,-47930.742075599686,3.2577499318283167,48706.48776671894,799.532603125002,3.196153638997247,0.9712755195925651
2024-06-01,803.8508414228496,3.318064208609087,-47928.50511850131,3.2577499318283167,48752.17168390705,802.2639771210094,3.196153638997247,1.0253172853185117
2024-07-01,807.1689076048357,3.3180642086091163,-47921.91521155603,3.2577499318283167,48851.1786449388,808.0619298140155,3.196153638997247,1.1467046406399424
2024-08-01,810.4869741143783,3.3180642086091505,-47912.309981404804,3.2577499318283167,48857.51968713765,815.7122687986557,3.196153638997247,1.1554193803525852
2024-09-01,813.8050388250815,3.318064208609158,-47905.31182547065,3.2577499318283167,48741.20884407977,822.4755019734927,3.196153638997247,1.011326430072226
2024-10-01,817.1231023940866,3.3180642086091487,-47904.81878801871,3.2577499318283167,48687.59510498408,822.345958660811,3.196153638997247,0.9583293770890466
2024-11-01,820.4411660730912,3.3180642086091408,-47904.60439922662,3.2577499318283167,48698.94510236098,821.4774603754089,3.196153638997247,0.9765135059756209
2024-12-01,823.7592312837202,3.3180642086091554,-47899.49078620349,3.2577499318283167,48784.73742336951,825.9313350876632,3.196153638997247,1.0716802755024875
